ID_FILIAL,LOJA,PONTO_VENDA_COD,PONTO_VENDA,PUBLICO_LOJA,CANAL,CIDADE,LOJA_M2,PAIS,UF,CLIMA,STATUS
10115,Loja Ipanema,214,214:Rua Visconde De Piraja - Ipanema,A,Lojas,RIO DE JANEIRO,129,BR,RJ,Quente,INACTIVE
10392,Puc Shopping Garten,370,370:Joinville Garten Shopping,AB,Lojas,JOINVILLE,44,BR,SC,Fria,INACTIVE
10119,Loja Av Brasil Camboriu,219,219:Avenida Brasil - Balneario,B,Lojas,BALNEARIO CAMBORIU,176,BR,SC,Fria,ACTIVE
10543,Hs Park Sao Caetano,518,518:Parkshopping Sao Caetano,B,Lojas,SAO CAETANO DO SUL,549,BR,SP,Fria,ACTIVE
10116,Loja Quitanda,212,212:Rua Da Quitanda,AB,Lojas,RIO DE JANEIRO,151,BR,RJ,Quente,INACTIVE
10715,Kids Garten Shopping,718,718:Joinville Garten Shopping,AB,Lojas,JOINVILLE,54,BR,SC,Fria,INACTIVE
10182,Shopping Paladium,233,233:Palladium Shopping Center,B,Lojas,CURITIBA,209,BR,PR,Fria,ACTIVE
10387,Shopping Garten,369,369:Joinville Garten Shopping,B,Lojas,JOINVILLE,230,BR,SC,Fria,ACTIVE
10284,Shopping Salvador,110,110:Salvador Shopping,B,Lojas,SALVADOR,115,BR,BA,Quente,INACTIVE
10407,Loja Internet Dzarm,,,,Lojas,,0,BR,,Quente,INACTIVE
11385,Hs Brasilia Shop,126,126:Brasilia Shopping,B,Lojas,BRASILIA,111,BR,DF,Quente,ACTIVE
10124,Puc Shopping Mueller,222,222:Shopping Mueller,AB,Lojas,,68,BR,,Quente,INACTIVE
10466,Shopping Granja Vianna,431,431:Shopping Granja Viana,B,Lojas,COTIA,115,BR,SP,Fria,INACTIVE
11384,Hs Boulevard Shop Bh,413,413:Boulevard Shopping - Belo Horizonte,B,Lojas,BELO HORIZONTE,118,BR,MG,Quente,ACTIVE
10582,Puc Iguatemi Flp,195,195:Shopping Iguatemi Santa Monica,AB,Lojas,FLORIANOPOLIS,33,BR,SC,Fria,INACTIVE
10708,Hk Shopping Mueller,677,677:Shopping Mueller - Joinville,AB,Lojas,JOINVILLE,68,BR,SC,Fria,INACTIVE
10480,Dzarm Analia Franco,,,,Lojas,,0,BR,,Quente,INACTIVE
10113,Shopping Santana Parque,205,205:Santana Parque Shopping,B,Lojas,SAO PAULO,81,BR,SP,Fria,INACTIVE
10213,Shopping Tijuca - Rj,261,261:Shopping Tijuca,B,Lojas,RIO DE JANEIRO,123,BR,RJ,Quente,ACTIVE
11076,Hs Continental,33,33:Shopping Continental,B,Lojas,SAO PAULO,255,BR,SP,Fria,INACTIVE
10817,Hk Iguatemi Ba,802,802:Shopping Da Bahia,AB,Lojas,SALVADOR,54,BR,BA,Quente,INACTIVE
10482,Iguatemi Alphaville,462,462:Shopping Iguatemi Alphaville,AB,Lojas,BARUERI,114,BR,SP,Fria,INACTIVE
10870,Hs Iguatemi Campinas,56,56:Shopping Iguatemi Campinas,B,Lojas,CAMPINAS,235,BR,SP,Fria,ACTIVE
11285,Hs Shopping Patio Brasil,124,124:Shopping Patio Brasil,B,Lojas,BRASILIA,155,BR,DF,Quente,ACTIVE
10884,Loja Parnamirim,,,,Lojas,PARNAMIRIM,1,BR,RN,Quente,INACTIVE
10357,Puc Shopping Morumbi,164,164:Shopping Morumbi,AB,Lojas,SAO PAULO,68,BR,SP,Fria,INACTIVE
10322,Shopping Paralela - Hs,314,314:Shopping Paralela,AB,Lojas,SALVADOR,81,BR,BA,Quente,INACTIVE
10909,Hs Metropolitano Barra,869,869:Shopping Metropolitano Barra,B,Lojas,RIO DE JANEIRO,226,BR,RJ,Quente,INACTIVE
11229,Hk Praia De Belas,946,946:Shopping Praia De Belas,AB,Lojas,PORTO ALEGRE,47,BR,RS,Fria,INACTIVE
10530,Hering Store Park Europeu,537,537:Shopping Park Europeu,AB,Lojas,BLUMENAU,156,BR,SC,Fria,INACTIVE
10983,For You Cidade Sao Paulo,902,902:Shopping Cidade Sao Paulo,AB,Lojas,,1,BR,,Quente,INACTIVE
11635,Dzarm Ibirapuera,1235,1235:Shopping Ibirapuera Dzarm,B,Lojas,SAO PAULO,52,BR,SP,Fria,ACTIVE
10698,Puc Shopping Vila Olimpia,352,352:Shopping Vila Olímpia,AB,Lojas,SAO PAULO,36,BR,SP,Fria,INACTIVE
