ARTIGO_COR,ARTIGO,DESC_PRODUTO,COR,COR_DESCRICAO,NEGOCIO,PARTE,GRUPO,GENERO,COD_COTA,COLECAO,PIRAMIDE
0995CTHKM,0995,PACOTE COM 50 CARTUCHOS HK M,GER,PACOTE COM 50 CARTUCHOS DZ M,HERING KIDS,,,,424,VERAO 2024,CORE
0995CTHKM,0995,PACOTE COM 50 CARTUCHOS HK M,GER,PACOTE COM 50 CARTUCHOS DZ M,HERING KIDS,,,,124,OUTONO 2024,CORE
0995CTHKM,0995,PACOTE COM 50 CARTUCHOS HK M,GER,PACOTE COM 50 CARTUCHOS DZ M,HERING KIDS,,,,224,INVERNO 2024,CORE
0995HKSCP,0995,PACOTE COM 50 SACOLAS HK P,GER,PACOTE COM 50 CARTUCHOS DZ M,HERING KIDS,,,,424,VERAO 2024,CORE
0995HKSCP,0995,PACOTE COM 50 SACOLAS HK P,GER,PACOTE COM 50 CARTUCHOS DZ M,HERING KIDS,,,,124,OUTONO 2024,CORE
0995HKSCP,0995,PACOTE COM 50 SACOLAS HK P,GER,PACOTE COM 50 CARTUCHOS DZ M,HERING KIDS,,,,224,INVERNO 2024,CORE
0995HKSCM,0995,PACOTE COM 50 SACOLAS HK M,GER,PACOTE COM 50 CARTUCHOS DZ M,HERING KIDS,,,,424,VERAO 2024,CORE
0995HKSCM,0995,PACOTE COM 50 SACOLAS HK M,GER,PACOTE COM 50 CARTUCHOS DZ M,HERING KIDS,,,,124,OUTONO 2024,CORE
0995HKSCM,0995,PACOTE COM 50 SACOLAS HK M,GER,PACOTE COM 50 CARTUCHOS DZ M,HERING KIDS,,,,224,INVERNO 2024,CORE
0995HASCG,0995,PACOTE COM 50 SACOLAS HA G,GER,PACOTE COM 50 CARTUCHOS DZ M,HERING ADULTO,,,,424,VERAO 2024,CORE
0995HASCG,0995,PACOTE COM 50 SACOLAS HA G,GER,PACOTE COM 50 CARTUCHOS DZ M,HERING ADULTO,,,,124,OUTONO 2024,CORE
0995HASCG,0995,PACOTE COM 50 SACOLAS HA G,GER,PACOTE COM 50 CARTUCHOS DZ M,HERING ADULTO,,,,224,INVERNO 2024,CORE
0995HASCP,0995,PACOTE COM 50 SACOLAS HA P,GER,PACOTE COM 50 CARTUCHOS DZ M,HERING ADULTO,,,,424,VERAO 2024,CORE
0995HASCP,0995,PACOTE COM 50 SACOLAS HA P,GER,PACOTE COM 50 CARTUCHOS DZ M,HERING ADULTO,,,,124,OUTONO 2024,CORE
0995HASCP,0995,PACOTE COM 50 SACOLAS HA P,GER,PACOTE COM 50 CARTUCHOS DZ M,HERING ADULTO,,,,224,INVERNO 2024,CORE
0995NDZSCM,0995,PACOTE COM 50 SACOLAS DZ M,*,GENERICO *,DZARM,,,,424,VERAO 2024,CORE
0995NDZSCM,0995,PACOTE COM 50 SACOLAS DZ M,*,GENERICO *,DZARM,,,,124,OUTONO 2024,CORE
