DATA_VENDA,ID_FILIAL,PRODUTO,COR_PRODUTO,TAMANHO,VENDA_PECAS,VENDA_LIQUIDA,VENDA_BRUTA
2024-06-09,10709,KFRB,1BSN,M,1,32.86,35.99
2024-06-09,10709,KFRB,1BSN,M,1,32.86,35.99
2024-06-09,10709,KFRB,1ASN,M,1,32.86,35.99
2024-06-09,10709,KFRB,1ASN,M,1,32.86,35.99
2024-06-09,10709,KGPY,YUMSI,P,1,374.46,399.99
2024-06-09,11385,H34N,1ASN,P,1,257.97,279.99
2024-06-09,11385,7604,MK7EN,G,1,169.99,169.99
2024-06-09,11385,Q8HK,1AEN,M,1,215.31,229.99
2024-06-09,11385,026X,N1007S,M,3,224.65,239.97
2024-06-09,10852,K0M0,3ASI,P,-1,-299.99,-299.99
2024-06-09,10852,KTMZ,NATSI,P,-1,-299.99,-299.99
2024-06-09,10852,5CMP,A60EN,14,-1,-49.99,-49.99
2024-06-09,10852,558C,AXTEN,14,-1,-59.99,-59.99
2024-06-09,10852,KGG3,1FSI,P,1,249.99,249.99
2024-06-09,10852,KGUW,1ASI,P,-1,-259.99,-259.99
2024-06-09,10852,KYQH,M2HAN,P,1,15.99,15.99
2024-06-09,10852,KFKE,1ASN,XG,1,75.99,75.99
2024-06-09,10852,K05B,EANSI,P,-1,-239.99,-239.99
2024-06-09,10852,KGE2,1CSI,XXG,1,419.99,419.99
2024-06-09,10852,KGXU,1ASI,M,1,238.97,269.99
2024-06-09,10852,HFCD,KTAEN,G,-1,-139.99,-139.99
2024-06-09,10852,SC40,N10SI,M,1,121.27,129.99
2024-06-09,10852,KGJT,N10SI,P,1,339.99,339.99
2024-06-09,10852,KVZQ,1ESI,14,-1,-79.99,-139.99
2024-06-09,10852,KTGY,NATSI,M,-1,-219.99,-219.99
2024-06-09,10852,KGXC,1ASI,G,1,399.99,399.99
2024-06-09,10852,KGW9,N10SI,XG,-1,-419.99,-419.99
2024-06-09,10852,KGJH,HMZSI,M,1,189.99,189.99
2024-06-09,10852,K4XH,HN1SI,P,1,359.99,359.99
2024-06-09,10852,7604,4PEN,M,1,169.99,169.99
2024-06-09,10852,5CR5,2WEN,10,-1,-59.99,-59.99
2024-06-09,10852,K5C2,2FSI,38,-1,-259.99,-259.99
2024-06-09,10852,HANT,1DEN,M,1,319.99,319.99
2024-06-09,10852,K5K1,3BSI,M,1,549.99,549.99
2024-06-09,10852,K5FY,4BSI,P,1,319.99,319.99
2024-06-09,10852,KGXY,1ASI,G,1,359.99,359.99
2024-06-09,10852,H8TF,1ASN,P,-1,-199.99,-279.99
2024-06-09,10852,HBTK,1ASN,40,-1,-189.99,-279.99
2024-06-09,10852,KGQW,1CSI,M,1,216.21,249.99
2024-06-09,10852,7CX1,N10EN,M,1,119.99,249.99
2024-06-09,10852,SC82,RGNSI,XG,1,195.99,279.99
2024-06-09,10852,KGXY,1ASI,M,1,305.99,359.99
2024-06-09,10852,5DW9,AQ3EN,4,1,36.66,39.99
2024-06-09,10852,5DW9,AQ3EN,4,1,36.66,39.99
2024-06-09,10852,5DW9,N0AEN,3,1,36.66,39.99
2024-06-09,10852,5DW9,N0AEN,3,1,36.66,39.99
2024-06-09,10852,K5HM,1ASI,G,-1,-239.99,-239.99
2024-06-09,10218,KZHB,1ASN,M,-1,-79.99,-49.99
2024-06-09,10218,026X,AX7EN,G,3,219.97,239.97
2024-06-09,10218,026X,N1007S,G,2,146.65,159.98
2024-06-09,10218,K4R4,EATSI,M,-1,-219.99,-219.99
2024-06-09,10218,5DW9,N0AEN,2,1,39.99,39.99
2024-06-09,10218,026X,AZ2EN,M,-1,-79.99,-79.99
2024-06-09,10218,H9LU,1AEN,42,-1,-259.99,-259.99
2024-06-09,10218,KGXZ,1ASI,XXG,1,399.99,399.99
2024-06-09,10218,H349,1ASN,XXG,1,229.99,319.99
2024-06-09,10218,KFKE,1BSN,G,1,72.38,75.99
2024-06-09,10218,K5JN,1ASI,P,1,346.46,379.99
2024-06-09,10218,SN2L,N10SN,M,1,189.99,189.99
2024-06-09,10218,KGXZ,1ASI,P,1,399.99,399.99
